movie_name,title_year,genres,duration,director_name,movie_imdb_link,content_rating,imdb_score,num_voted_users,num_user_for_reviews
#Horror,2015,Drama|Horror|Mystery|Thriller,101,Tara Subkoff,http://www.imdb.com/title/tt3526286/?ref_=fn_tt_tt_1,Not Rated,3.3,1547,42
10 Cloverfield Lane,2016,Drama|Horror|Mystery|Sci-Fi|Thriller,104,Dan Trachtenberg,http://www.imdb.com/title/tt1179933/?ref_=fn_tt_tt_1,PG-13,7.3,126893,440
10 Days in a Madhouse,2015,Drama,111,Timothy Hines,http://www.imdb.com/title/tt3453052/?ref_=fn_tt_tt_1,R,7.5,314,10
10 Things I Hate About You,1999,Comedy|Drama|Romance,97,Gil Junger,http://www.imdb.com/title/tt0147800/?ref_=fn_tt_tt_1,PG-13,7.2,222099,549
102 Dalmatians,2000,Adventure|Comedy|Family,100,Kevin Lima,http://www.imdb.com/title/tt0211181/?ref_=fn_tt_tt_1,G,4.8,26413,77
10th & Wolf,2006,Crime|Drama|Thriller,107,Robert Moresco,http://www.imdb.com/title/tt0360323/?ref_=fn_tt_tt_1,R,6.4,5557,34
11:14,2003,Comedy|Crime|Drama,85,Greg Marcks,http://www.imdb.com/title/tt0331811/?ref_=fn_tt_tt_1,R,7.2,38273,133
12 Angry Men,1957,Crime|Drama,96,Sidney Lumet,http://www.imdb.com/title/tt0050083/?ref_=fn_tt_tt_1,Not Rated,8.9,447785,888
12 Monkeys,,Adventure|Drama|Mystery|Sci-Fi|Thriller,42,,http://www.imdb.com/title/tt3148266/?ref_=fn_tt_tt_1,TV-14,7.6,20839,56
12 Rounds,2009,Action|Crime|Thriller,108,Renny Harlin,http://www.imdb.com/title/tt1160368/?ref_=fn_tt_tt_1,PG-13,5.6,22823,113
12 Years a Slave,2013,Biography|Drama|History,134,Steve McQueen,http://www.imdb.com/title/tt2024544/?ref_=fn_tt_tt_1,R,8.1,439176,695
127 Hours,2010,Adventure|Biography|Drama|Thriller,94,Danny Boyle,http://www.imdb.com/title/tt1542344/?ref_=fn_tt_tt_1,R,7.6,279179,440
13 Going on 30,2004,Comedy|Fantasy|Romance,98,Gary Winick,http://www.imdb.com/title/tt0337563/?ref_=fn_tt_tt_1,PG-13,6.1,122187,339
13 Hours,2016,Action|Drama|Thriller|War,144,Michael Bay,http://www.imdb.com/title/tt4172430/?ref_=fn_tt_tt_1,R,7.4,47764,219
1408,2007,Fantasy|Horror,114,Mikael Håfström,http://www.imdb.com/title/tt0450385/?ref_=fn_tt_tt_1,PG-13,6.8,209396,580
15 Minutes,2001,Action|Crime|Drama|Thriller,120,John Herzfeld,http://www.imdb.com/title/tt0179626/?ref_=fn_tt_tt_1,R,6.1,42547,265
