movie_name,title_year,num_voted_users,movie_imdb_link,num_user_for_reviews,imdb_score,num_critic_for_reviews
#Horror,2015,1547,http://www.imdb.com/title/tt3526286/?ref_=fn_tt_tt_1,42,3.3,35
[Rec],2007,131462,http://www.imdb.com/title/tt1038988/?ref_=fn_tt_tt_1,374,7.5,252
[Rec] 2,2009,55597,http://www.imdb.com/title/tt1245112/?ref_=fn_tt_tt_1,148,6.6,222
10 Cloverfield Lane,2016,126893,http://www.imdb.com/title/tt1179933/?ref_=fn_tt_tt_1,440,7.3,411
10 Days in a Madhouse,2015,314,http://www.imdb.com/title/tt3453052/?ref_=fn_tt_tt_1,10,7.5,1
10 Things I Hate About You,1999,222099,http://www.imdb.com/title/tt0147800/?ref_=fn_tt_tt_1,549,7.2,133
"10,000 B.C.",,6,http://www.imdb.com/title/tt1869849/?ref_=fn_tt_tt_1,,7.2,
102 Dalmatians,2000,26413,http://www.imdb.com/title/tt0211181/?ref_=fn_tt_tt_1,77,4.8,84
10th & Wolf,2006,5557,http://www.imdb.com/title/tt0360323/?ref_=fn_tt_tt_1,34,6.4,26
11:14,2003,38273,http://www.imdb.com/title/tt0331811/?ref_=fn_tt_tt_1,133,7.2,68
12 Angry Men,1957,447785,http://www.imdb.com/title/tt0050083/?ref_=fn_tt_tt_1,888,8.9,177
12 Monkeys,,20839,http://www.imdb.com/title/tt3148266/?ref_=fn_tt_tt_1,56,7.6,13
12 Rounds,2009,22823,http://www.imdb.com/title/tt1160368/?ref_=fn_tt_tt_1,113,5.6,113
12 Years a Slave,2013,439176,http://www.imdb.com/title/tt2024544/?ref_=fn_tt_tt_1,695,8.1,597
127 Hours,2010,279179,http://www.imdb.com/title/tt1542344/?ref_=fn_tt_tt_1,440,7.6,450
13 Going on 30,2004,122187,http://www.imdb.com/title/tt0337563/?ref_=fn_tt_tt_1,339,6.1,119
13 Hours,2016,47764,http://www.imdb.com/title/tt4172430/?ref_=fn_tt_tt_1,219,7.4,204
1408,2007,209396,http://www.imdb.com/title/tt0450385/?ref_=fn_tt_tt_1,580,6.8,314
15 Minutes,2001,42547,http://www.imdb.com/title/tt0179626/?ref_=fn_tt_tt_1,265,6.1,151
16 Blocks,2006,112769,http://www.imdb.com/title/tt0450232/?ref_=fn_tt_tt_1,305,6.6,199
16 to Life,2009,397,http://www.imdb.com/title/tt1130087/?ref_=fn_tt_tt_1,6,6.3,3
17 Again,2009,146899,http://www.imdb.com/title/tt0974661/?ref_=fn_tt_tt_1,185,6.4,191
1776,1972,6303,http://www.imdb.com/title/tt0068156/?ref_=fn_tt_tt_1,129,7.6,34
1911,2011,4670,http://www.imdb.com/title/tt1772230/?ref_=fn_tt_tt_1,27,6,63
1941,1979,25193,http://www.imdb.com/title/tt0078723/?ref_=fn_tt_tt_1,217,5.9,56
1982,2013,122,http://www.imdb.com/title/tt2388621/?ref_=fn_tt_tt_1,3,7.1,6
2 Fast 2 Furious,2003,191912,http://www.imdb.com/title/tt0322259/?ref_=fn_tt_tt_1,370,5.9,150
2 Guns,2013,156898,http://www.imdb.com/title/tt1272878/?ref_=fn_tt_tt_1,172,6.7,265
2:13,2009,961,http://www.imdb.com/title/tt1002561/?ref_=fn_tt_tt_1,12,4.8,4
20 Dates,1998,1622,http://www.imdb.com/title/tt0138987/?ref_=fn_tt_tt_1,83,5.3,32
20 Feet from Stardom,2013,9540,http://www.imdb.com/title/tt2396566/?ref_=fn_tt_tt_1,80,7.4,149
"20,000 Leagues Under the Sea",1954,22124,http://www.imdb.com/title/tt0046672/?ref_=fn_tt_tt_1,108,7.2,69
200 Cigarettes,1999,13010,http://www.imdb.com/title/tt0137338/?ref_=fn_tt_tt_1,182,5.9,67
2001: A Space Odyssey,1968,427357,http://www.imdb.com/title/tt0062622/?ref_=fn_tt_tt_1,1736,8.3,285
2012,2009,283418,http://www.imdb.com/title/tt1190080/?ref_=fn_tt_tt_1,1055,5.8,367
2016: Obama's America,2012,9010,http://www.imdb.com/title/tt2247692/?ref_=fn_tt_tt_1,199,5.1,30
2046,2004,41496,http://www.imdb.com/title/tt0212712/?ref_=fn_tt_tt_1,210,7.5,194
21,2008,191470,http://www.imdb.com/title/tt0478087/?ref_=fn_tt_tt_1,278,6.8,144
21 & Over,2013,60407,http://www.imdb.com/title/tt1711425/?ref_=fn_tt_tt_1,84,5.9,168
21 Grams,2003,189683,http://www.imdb.com/title/tt0315733/?ref_=fn_tt_tt_1,559,7.7,192
21 Jump Street,2012,408302,http://www.imdb.com/title/tt1232829/?ref_=fn_tt_tt_1,345,7.2,375
22 Jump Street,2014,258186,http://www.imdb.com/title/tt2294449/?ref_=fn_tt_tt_1,322,7.1,330
24 7: Twenty Four Seven,1997,2081,http://www.imdb.com/title/tt0120391/?ref_=fn_tt_tt_1,21,7.1,44
25th Hour,2002,149528,http://www.imdb.com/title/tt0307901/?ref_=fn_tt_tt_1,454,7.7,202
27 Dresses,2008,124501,http://www.imdb.com/title/tt0988595/?ref_=fn_tt_tt_1,154,6.1,175
28 Days,2000,34597,http://www.imdb.com/title/tt0191754/?ref_=fn_tt_tt_1,194,6,116
28 Days Later...,2002,297250,http://www.imdb.com/title/tt0289043/?ref_=fn_tt_tt_1,1441,7.6,224
28 Weeks Later,2007,212167,http://www.imdb.com/title/tt0463854/?ref_=fn_tt_tt_1,713,7,274
3,2010,4212,http://www.imdb.com/title/tt1517177/?ref_=fn_tt_tt_1,18,6.8,76
3 Backyards,2010,554,http://www.imdb.com/title/tt1314190/?ref_=fn_tt_tt_1,23,5.2,20
3 Days to Kill,2014,69355,http://www.imdb.com/title/tt2172934/?ref_=fn_tt_tt_1,211,6.2,211
3 Men and a Baby,1987,36918,http://www.imdb.com/title/tt0094137/?ref_=fn_tt_tt_1,42,5.9,21
